cidade,estupro,estupro_de_vulneravel,furto_de_veiculos,furto_outros,homicidio_culposo_outros,homicidio_culposo_por_acidente_de_transito,homicidio_doloso,homicidio_doloso_por_acidente_de_transito,latrocinio,lesao_corporal_culposa_outras,lesao_corporal_culposa_por_acidente_de_transito,lesao_corporal_dolosa,lesao_corporal_seguida_de_morte,roubo_a_banco,roubo_de_carga,roubo_de_veiculo,roubo_outros,tentativa_de_homicidio,cluster
aguai,2,10,9,420,0,1,1,0,0,3,73,141,0,0,1,6,7,3,2
aguas_da_prata,0,1,6,27,0,0,1,0,0,4,7,35,0,0,0,3,0,0,2
aguas_de_sao_pedro,0,1,3,36,0,0,0,0,0,0,1,13,0,0,0,0,0,0,2
americana,15,33,564,2252,1,20,9,0,0,23,728,743,0,0,9,45,204,9,1
analandia,1,2,1,44,0,0,0,0,0,0,9,16,0,0,0,3,1,0,2
araras,7,18,225,1114,0,15,5,0,0,8,483,615,0,0,10,114,118,8,0
artur_nogueira,1,12,51,323,1,7,2,0,0,4,120,212,1,0,0,12,23,6,0
brotas,2,6,13,170,0,3,2,0,0,0,44,82,0,0,1,3,18,6,2
caconde,3,1,8,73,0,1,0,0,0,0,25,61,0,0,0,1,2,3,2
capivari,1,8,20,230,0,4,1,0,0,1,179,207,0,0,3,8,19,4,2
casa_branca,2,14,9,269,0,8,0,0,0,4,52,158,0,0,0,4,8,4,2
charqueada,1,3,3,88,0,1,1,0,0,0,17,75,0,0,0,4,9,4,2
conchal,1,8,14,236,0,3,0,0,0,0,42,93,0,0,0,7,15,5,2
cordeiropolis,2,8,34,193,0,3,1,0,0,4,47,116,0,0,8,6,13,5,2
corumbatai,0,0,1,43,0,0,0,0,0,1,14,13,0,0,0,1,2,0,2
cosmopolis,2,15,111,322,0,8,10,0,0,1,154,229,0,0,2,25,56,1,2
divinolandia,2,1,0,27,0,4,0,0,0,2,7,27,0,0,0,1,0,0,2
elias_fausto,0,3,12,79,0,0,0,0,0,0,57,67,0,0,2,4,7,1,2
engenheiro_coelho,2,5,13,77,0,1,1,0,0,0,9,51,0,0,0,7,6,7,2
espirito_santo_do_pinhal,4,5,17,185,0,3,2,0,0,1,109,147,0,0,0,3,16,3,2
hortolandia,11,55,532,1841,0,11,15,0,2,10,511,755,1,0,3,155,436,23,1
ipeuna,0,1,2,44,0,4,1,0,0,1,12,22,0,0,0,3,1,1,2
iracemapolis,0,2,23,106,0,2,1,0,0,3,28,85,0,0,2,2,10,2,2
itirapina,0,6,4,127,1,0,0,0,0,1,11,65,0,0,3,1,5,4,2
itobi,0,4,5,33,0,0,0,0,0,0,2,42,0,0,0,0,3,5,2
leme,14,31,134,614,0,6,4,0,0,6,335,450,2,0,2,22,95,4,0
limeira,11,48,727,2675,1,35,11,0,1,13,527,1064,0,0,30,148,361,20,1
mococa,3,22,48,736,0,8,3,0,0,5,266,351,0,0,0,9,33,3,0
mombuca,1,1,4,21,0,0,0,0,0,0,1,23,0,0,0,4,1,0,2
monte_mor,10,28,61,310,1,12,8,0,0,4,55,220,0,0,4,29,51,13,0
nova_odessa,5,8,109,468,1,3,3,0,0,0,145,179,0,0,7,23,36,3,0
piracicaba,17,36,543,3479,1,48,24,0,1,44,829,1535,1,0,3,81,424,33,1
pirassununga,2,12,46,555,0,6,2,0,0,3,75,374,0,0,2,8,29,2,2
rafard,1,1,5,36,0,1,1,0,0,1,16,40,0,0,0,5,1,0,2
rio_claro,12,22,297,1484,2,21,26,1,1,17,816,737,0,0,2,78,208,23,1
rio_das_pedras,2,6,14,202,0,3,2,0,0,1,62,138,0,0,0,10,18,4,2
saltinho,0,3,2,54,0,2,1,0,0,2,10,19,0,0,3,7,2,1,2
santa_barbara_do_oeste,11,20,429,1145,2,15,2,0,0,7,370,492,1,0,3,32,124,7,0
santa_cruz_da_conceicao,0,0,1,34,0,0,0,0,0,0,4,28,0,0,1,2,2,0,2
santa_cruz_das_palmeiras,3,5,14,111,0,2,3,0,0,4,32,79,0,0,0,2,8,5,2
santa_gertrudes,0,1,32,78,0,6,1,0,0,1,61,79,0,0,0,5,9,2,2
santa_maria_da_serra,1,3,1,17,0,1,1,0,0,0,6,31,0,0,0,1,1,2,2
santo_antonio_do_jardim,0,2,2,14,0,1,0,0,0,1,7,22,0,0,0,2,1,0,2
sao_joao_da_boa_vista,4,13,37,726,0,7,3,0,1,10,311,399,0,0,0,8,17,6,0
sao_jose_do_rio_pardo,1,4,11,352,0,5,1,0,0,1,85,187,0,0,0,0,8,2,2
sao_pedro,4,5,21,270,0,5,1,0,0,1,55,164,0,0,1,1,18,3,2
sao_sebastiao_da_grama,0,1,0,37,0,0,1,0,0,1,6,43,0,0,0,0,0,0,2
sumare,14,55,530,2123,1,23,16,0,0,11,590,894,2,0,6,305,335,25,1
tambau,3,9,7,104,1,0,0,0,0,0,22,109,0,0,0,6,10,0,2
tapiratiba,2,3,2,37,0,3,1,0,0,0,15,40,0,0,1,0,1,1,2
torrinha,0,1,3,48,0,0,0,0,0,1,1,42,0,0,0,0,3,3,2
vargem_grande_do_sul,5,5,16,276,0,1,3,0,0,1,73,173,0,0,0,1,18,8,2
